Date,Rainfall_total
2017-08-10,0
2017-08-11,1
2017-08-12,0.19
2017-08-13,0
2017-08-14,14.84
2017-08-15,0
2017-08-16,1.45
2017-08-17,1.95
2017-08-18,2.35
2017-08-19,0.09
2017-08-20,3.66
2017-08-21,1.09
2017-08-22,0.67
2017-08-23,0
2017-08-24,0
2017-08-25,0
2017-08-26,0.07
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,2.97
2017-08-31,4.57
2017-09-01,0.1
2017-09-02,0
2017-09-03,20.22
2017-09-04,0.19
2017-09-05,0.93
2017-09-06,0.52
2017-09-07,2.91
2017-09-08,3.5
2017-09-09,5.48
2017-09-10,1.8
2017-09-11,5.23
2017-09-12,2.08
2017-09-13,6.94
2017-09-14,7.95
2017-09-15,6.64
2017-09-16,11.21
2017-09-17,0.39
2017-09-18,0
2017-09-19,0.14
2017-09-20,2.27
2017-09-21,3.74
2017-09-22,0.05
2017-09-23,0
2017-09-24,5.17
2017-09-25,0
2017-09-26,0
2017-09-27,2.45
2017-09-28,0.65
2017-09-29,4.67
2017-09-30,0
2017-10-01,0.07
2017-10-02,4.44
2017-10-03,0.58
2017-10-04,0.13
2017-10-05,4.02
2017-10-06,0.54
2017-10-07,2.79
2017-10-08,0.89
2017-10-09,0.65
2017-10-10,0.94
2017-10-11,1.44
2017-10-12,0.35
2017-10-13,0.05
2017-10-14,0
2017-10-15,0
2017-10-16,0.38
2017-10-17,0.65
2017-10-18,0.49
2017-10-19,8.11
2017-10-20,6.76
2017-10-21,12.48
2017-10-22,1.67
2017-10-23,1.01
2017-10-24,0.06
2017-10-25,0.77
2017-10-26,0.27
2017-10-27,0
2017-10-28,0.27
2017-10-29,0.17
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-04,2.88
2017-11-05,2.7
2017-11-06,0.06
2017-11-07,4.59
2017-11-08,0
2017-11-09,1.12
2017-11-10,3.41
2017-11-11,15.61
2017-11-12,1.63
2017-11-13,0
2017-11-14,0
2017-11-15,0.93
2017-11-16,0.15
2017-11-17,0
2017-11-18,0.85
2017-11-19,0.1
2017-11-20,0
2017-11-21,0.43
2017-11-22,6.94
2017-11-23,2.81
2017-11-24,3.09
2017-11-25,3.7
2017-11-26,2.4
2017-11-27,13.24
2017-11-28,2.29
2017-11-29,0
2017-11-30,0.33
2017-12-01,0
2017-12-02,0.06
2017-12-03,0.54
2017-12-04,0.5
2017-12-05,0.27
2017-12-06,0.4
2017-12-07,4.16
2017-12-08,1.05
2017-12-09,2.41
2017-12-10,16.38
2017-12-11,0.62
2017-12-12,0.77
2017-12-13,9.96
2017-12-14,8.53
2017-12-15,1.31
2017-12-16,1.81
2017-12-17,1.68
2017-12-18,0
2017-12-19,0
2017-12-20,0.1
2017-12-21,0.46
2017-12-22,0.51
2017-12-23,0
2017-12-24,0.11
2017-12-25,17.37
2017-12-26,17.03
2017-12-27,4.13
2017-12-28,0.48
2017-12-29,13.75
2017-12-30,6.78
2017-12-31,10.37
2018-01-01,1.92
2018-01-02,7.4
2018-01-03,9.24
2018-01-04,12.17
2018-01-05,2.51
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,3.12
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0.07
2018-01-14,0
2018-01-15,14.81
2018-01-16,8.37
2018-01-17,13.76
2018-01-18,3.99
2018-01-19,2.88
2018-01-20,4.66
2018-01-21,7.46
2018-01-22,1.98
2018-01-23,3.02
2018-01-24,15.71
2018-01-25,6.02
2018-01-26,2.52
2018-01-27,3.88
2018-01-28,0
2018-01-29,1.29
2018-01-30,2.05
2018-01-31,5.89
2018-02-01,1.18
2018-02-02,0.16
2018-02-03,5.13
2018-02-04,0
2018-02-05,0
2018-02-06,0.25
2018-02-07,0
2018-02-08,5.19
2018-02-09,1.78
2018-02-10,5.1
2018-02-11,0.78
2018-02-12,0.24
2018-02-13,13.58
2018-02-14,4.66
2018-02-15,0.92
2018-02-16,0.24
2018-02-17,0.3
2018-02-18,0
2018-02-19,0.63
2018-02-20,0.07
2018-02-21,0
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0.09
2018-02-28,0
2018-03-01,7.64
2018-03-02,5.01
2018-03-03,9.15
2018-03-04,19.54
2018-03-05,7.5
2018-03-06,0.22
2018-03-07,3.13
2018-03-08,3.36
2018-03-09,8.6
2018-03-10,7.78
2018-03-11,8.99
2018-03-12,0.86
2018-03-13,0
2018-03-14,26.31
2018-03-15,4.03
2018-03-16,2.77
2018-03-17,2.28
2018-03-18,3.78
2018-03-19,0.92
2018-03-20,0.12
2018-03-21,0
2018-03-22,0.44
2018-03-23,4.19
2018-03-24,3.47
2018-03-25,0
2018-03-26,2.96
2018-03-27,1.52
2018-03-28,7.02
2018-03-29,4.18
2018-03-30,12.14
2018-03-31,6.28
2018-04-01,15.6
2018-04-02,5.25
2018-04-03,1.79
2018-04-04,4.42
2018-04-05,0
2018-04-06,0
2018-04-07,18.08
2018-04-08,0
2018-04-09,5.75
2018-04-10,5.98
2018-04-11,5.13
2018-04-12,0
2018-04-13,0
2018-04-14,0
2018-04-15,6.6
2018-04-16,0
2018-04-17,3.26
2018-04-18,0.37
2018-04-19,0
2018-04-20,0
2018-04-21,0.23
2018-04-22,0
2018-04-23,0
2018-04-24,1.73
2018-04-25,0
2018-04-26,0.82
2018-04-27,11.18
2018-04-28,1.68
2018-04-29,0
2018-04-30,0
2018-05-01,0
2018-05-02,5.85
2018-05-03,0
2018-05-04,0
2018-05-05,0
2018-05-06,0
2018-05-07,0
2018-05-08,0
2018-05-09,1.91
2018-05-10,0
2018-05-11,2.88
2018-05-12,0
2018-05-13,0
2018-05-14,0
2018-05-15,0
2018-05-16,1.5
2018-05-17,0
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,17.92
2018-05-27,0.09
2018-05-28,0
2018-05-29,0
